"","id","coral","algae","turf","soft","cca","simpD","shanH","acro","comp1","comp2","f.biomass","f.biomassT","f.N","f.richness","N.herb","N.carn","FshanH","FsimpD","FsimpD2","fcomp1","fcomp2","Complexity","lat","long","Data","Marine.Park","SectorRegion","Reef","Site","Transect","Zone","Year"
"12901","Site3 Slope 1 2018",9,6,54.5,21,6.5,0.691358024691358,1.27302833658963,0,-1.61171549741198,-0.174675389900945,4703.31413939306,26028.4524434451,100,16,38,8,1.29364676946431,0.6474,0.5702,-1.57763741491205,-1.41398219969351,NA,"","","LTMP","GBR","Sector1","Reef1","Site3","1","Slope",2018
"13030","Site3 Slope 2 2018",15,3.5,68,2,9.5,0.575555555555556,0.99704531773754,0.0333333333333333,-0.0579059745748133,-0.78894995780505,14962.4525710794,57522.9271546701,137,25,54,15,1.52734393986086,0.700090574884118,0.597687676487826,-0.0555335913938759,-1.30853176533128,NA,"","","LTMP","GBR","Sector1","Reef1","Site3","2","Slope",2018
"13159","Site3 Slope 3 2018",9,5.5,65.5,14.5,5,0.493827160493827,0.686961576597323,0,0.0303901997268459,-1.7886115246771,5314.35570432945,10419.1804717437,106,22,31,7,1.55639003582884,0.688857244571022,0.56372374510502,-1.00454743202098,-1.45033244004113,NA,"","","LTMP","GBR","Sector1","Reef1","Site3","3","Slope",2018
"13288","Site3 Slope 4 2018",5,6.5,60,15,12.5,0.46,0.801818552543337,0.1,1.23744080044223,-1.52369523742955,3868.16785472228,6235.88451886506,126,16,35,9,1.48471032120107,0.671957671957672,0.554673721340388,-0.554230260907334,-1.48434559288719,NA,"","","LTMP","GBR","Sector1","Reef1","Site3","4","Slope",2018
"13417","Site3 Slope 5 2018",14,4.5,53,11,13,0.75,1.55160716712359,0.178571428571429,-0.412932507974018,0.105586554716088,10511.591341649,15493.4830515611,93,27,38,8,1.87980831285557,0.818822985316222,0.557521100705284,-0.572899277259603,-1.4755284450048,NA,"","","LTMP","GBR","Sector1","Reef1","Site3","5","Slope",2018
"13546","Site1 Slope 1 2020",14,1.5,48,20,12.5,0.755102040816326,1.49440321137961,0.285714285714286,0.434545618738102,-0.472536005622709,2949.76634946269,5368.50958622779,175,20,18,7,1.08826569967764,0.527151020408163,0.478824489795918,-1.38909050073293,-1.06309176140192,4,"","","LTMP","GBR","Sector1","Reef1","Site1","1","Slope",2020
"13675","Site1 Slope 2 2020",7.5,3,52,25,8.5,0.631111111111111,1.22933621590766,0.133333333333333,0.367775647872814,0.125574862043765,6112.00465684809,11105.855887593,119,18,33,2,1.40068587814695,0.690487959889838,0.513523056281336,-1.50870173763273,-1.32894791749255,3.5,"","","LTMP","GBR","Sector1","Reef1","Site1","2","Slope",2020
"13804","Site1 Slope 3 2020",8.5,3,35.5,30,19,0.650519031141868,1.0733836203365,0,-0.698879885029654,-1.99996910316918,3430.21222526955,9416.96090571496,126,17,33,4,1.4721734652923,0.717939027462837,0.501889644746788,-1.32889646164543,-1.71618513051029,4.5,"","","LTMP","GBR","Sector1","Reef1","Site1","3","Slope",2020
"13933","Site1 Slope 4 2020",9,3.5,55.5,14,13.5,0.660493827160494,1.08930967895583,0,-0.789384283736044,-1.96261271324434,15222.3164207619,22159.6416323956,82,19,32,11,1.72670697383256,0.780785246876859,0.469660916121356,-1.13472699783395,-1.4898015929501,4.5,"","","LTMP","GBR","Sector1","Reef1","Site1","4","Slope",2020
"14062","Site1 Slope 5 2020",13,4,53.5,20,6,0.600591715976331,1.04340337804618,0.0384615384615385,0.0777072041387155,-0.792855581825486,9067.59011430789,16924.6213177868,159,28,28,16,1.2898792387354,0.57663858233456,0.529013883944464,-0.521700046175009,-0.555093835568317,4,"","","LTMP","GBR","Sector1","Reef1","Site1","5","Slope",2020
"14191","Site2 Slope 1 2020",11.4832535885167,0.956937799043062,71.2918660287081,5.26315789473684,9.56937799043062,0.552083333333333,1.02342433428577,0,-0.447238077519786,-1.4340385096805,2009.87860724141,12363.4327142291,92,15,32,5,1.43476042872921,0.723062381852552,0.532844990548204,-2.16538747272708,-1.06864869011571,4,"","","LTMP","GBR","Sector1","Reef1","Site2","1","Slope",2020
"14320","Site2 Slope 2 2020",13.5,1.5,65.5,11.5,7.5,0.713305898491084,1.3172020854118,0.222222222222222,0.652766226636966,-1.52815530268811,4067.06282261105,15688.8253100277,127,21,56,9,1.46108460401013,0.708165416330833,0.539029078058156,-0.67655211457982,-1.48568847560693,4,"","","LTMP","GBR","Sector1","Reef1","Site2","2","Slope",2020
"14449","Site2 Slope 3 2020",13.5,1,58.5,16.5,8,0.674897119341564,1.25193859373294,0.148148148148148,0.543176992006479,-1.69406548752413,15052.6530894249,29025.9413750695,161,29,38,18,1.59277905123187,0.713938505458894,0.597816442266888,0.0922201117640818,-0.814107279514476,4.5,"","","LTMP","GBR","Sector1","Reef1","Site2","3","Slope",2020
"14578","Site2 Slope 4 2020",18.7817258883249,4.06091370558376,53.2994923857868,12.1827411167513,9.13705583756345,0.631117604090577,1.21451601655949,0.0540540540540541,-0.402240198635346,-0.758558258386357,12032.9096888935,29876.610676515,169,24,34,9,1.28921479168606,0.600539196806834,0.520990161408914,-0.721313309338339,-1.30714897389742,3.5,"","","LTMP","GBR","Sector1","Reef1","Site2","4","Slope",2020
"14707","Site2 Slope 5 2020",12.0192307692308,0.961538461538462,38.4615384615385,30.7692307692308,13.4615384615385,0.6656,1.31734928255108,0.08,-1.08385884200403,-0.176439251004483,2704.47862703087,8189.60270600604,101,15,30,9,1.5100036324048,0.693657484560337,0.575433781001863,-0.878753280073361,-1.05801775415168,4,"","","LTMP","GBR","Sector1","Reef1","Site2","5","Slope",2020
"14836","Site3 Slope 1 2020",11.5,1,48.5,27,9.5,0.56710775047259,0.918963983120373,0,-0.5586181251996,-1.94373347543166,2581.11746853753,4437.59849848658,130,20,21,9,1.13885985659661,0.50189349112426,0.45905325443787,-1.19756146073211,-1.16960063965591,2.5,"","","LTMP","GBR","Sector1","Reef1","Site3","1","Slope",2020
"14965","Site3 Slope 2 2020",11.0552763819095,1.00502512562814,76.8844221105527,3.51758793969849,6.03015075376884,0.752066115702479,1.46763544031603,0.0454545454545455,-1.5453890215631,0.15094231737573,5628.06696085168,14655.2177607925,111,22,31,9,1.41993035650481,0.669588507426345,0.57608960311663,-1.13365457688435,-0.564680455939805,3,"","","LTMP","GBR","Sector1","Reef1","Site3","2","Slope",2020
"15094","Site3 Slope 3 2020",13,1.5,56.5,20.5,4.5,0.715976331360947,1.37411475666216,0.192307692307692,0.173407293658234,-0.89707857339933,7603.48581488056,9344.50523313747,113,28,15,9,1.37604891976024,0.606155532931318,0.545853238311536,-1.16112681667479,-0.287784834056395,3,"","","LTMP","GBR","Sector1","Reef1","Site3","3","Slope",2020
"15223","Site3 Slope 4 2020",15.7894736842105,2.87081339712919,47.8468899521531,23.9234449760766,6.2200956937799,0.703397612488522,1.48062197757492,0.151515151515152,-0.415115220584712,0.162672805509712,1525.50057127453,2947.90877267102,108,19,22,7,1.34557996205315,0.616426611796982,0.531721536351166,-1.24071716423134,-1.06944900276699,2.5,"","","LTMP","GBR","Sector1","Reef1","Site3","4","Slope",2020
"15352","Site3 Slope 5 2020",14.572864321608,1.00502512562814,51.2562814070352,22.1105527638191,7.53768844221105,0.692033293697979,1.383610935003,0.0344827586206897,-1.38685678394022,0.407610878414008,1779.77670339641,2823.55013330669,88,19,19,6,1.4026597929838,0.634039256198347,0.555785123966942,-1.65447597748566,-0.924330341201363,4,"","","LTMP","GBR","Sector1","Reef1","Site3","5","Slope",2020
"27091","Site4 Slope 1 2018",43,0,29.5,8,13,0.512979989183342,0.947177329127797,0.686046511627907,1.52892070509738,0.189640411710195,6899.92842068659,11037.4538054693,185,28,39,21,1.56862336719104,0.672490869247626,0.616157779401023,0.211880236024042,-0.749864336123782,NA,"","","LTMP","GBR","Sector2","Reef2","Site4","1","Slope",2018
"27220","Site4 Slope 2 2018",44,0,38.5,4,8.5,0.56120867768595,1.0847573820805,0.647727272727273,1.22912292537834,0.19828143693826,6947.40198543053,12927.0694947687,246,31,46,22,1.48507229440265,0.644556811421773,0.58007799590191,0.363349936881173,-1.41980040258511,NA,"","","LTMP","GBR","Sector2","Reef2","Site4","2","Slope",2018
"27349","Site4 Slope 3 2018",50,0.5,36.5,1,7.5,0.3853,0.765140602223452,0.79,1.75356894412288,0.402029551360324,5113.74743041699,8857.70408135365,143,29,38,25,1.99852491249816,0.846789574062301,0.679739840579001,0.254560211858182,-0.84667888680899,NA,"","","LTMP","GBR","Sector2","Reef2","Site4","3","Slope",2018
"27478","Site4 Slope 4 2018",42.713567839196,0,39.6984924623116,1.50753768844221,12.0603015075377,0.250519031141868,0.508947082831747,0.858823529411765,1.79002852578521,0.220553542738391,7579.98590992297,16177.7747098149,145,22,83,14,1.91497963136732,0.832627824019025,0.394768133174792,0.520862199270876,-2.51591917785406,NA,"","","LTMP","GBR","Sector2","Reef2","Site4","4","Slope",2018
"27607","Site4 Slope 5 2018",45,0,39,2,9,0.395802469135803,0.766808839942088,0.777777777777778,1.57274402492584,0.504124529508303,6424.47731770996,9286.22882482153,157,29,39,21,1.77395149073278,0.766521968436853,0.655280133068279,0.0394456670417292,-1.51934207891834,NA,"","","LTMP","GBR","Sector2","Reef2","Site4","5","Slope",2018
"27736","Site5 Slope 1 2018",59,0,25.5,2.5,6,0.270037345590348,0.55655436851766,0.847457627118644,1.78194896775244,0.135817462479687,3389.45881012281,11394.1908240778,200,31,32,60,1.74485359939708,0.758375,0.670975,0.996280377135217,-0.440218513612698,3,"","","LTMP","GBR","Sector2","Reef2","Site5","1","Slope",2018
"27865","Site5 Slope 2 2018",58.5,0,30.5,0.5,5.5,0.316020162174008,0.68423379749173,0.88034188034188,2.32624021959673,0.854505075366381,17506.0136917868,22826.8120000964,142,27,50,18,1.56508001459838,0.731303312834755,0.614263043047014,-0.773810470704098,-1.80253673632591,3.5,"","","LTMP","GBR","Sector2","Reef2","Site5","2","Slope",2018
"27994","Site5 Slope 3 2018",57.5,0.5,28,1,11,0.100869565217391,0.274240755448324,0.965217391304348,2.39883230495217,0.977621125426254,5421.65254661222,9201.81310007965,142,27,48,29,1.93331475732382,0.840309462408252,0.628942670105138,0.166173816608128,-1.83201991275267,3,"","","LTMP","GBR","Sector2","Reef2","Site5","3","Slope",2018
"28123","Site5 Slope 4 2018",42.5,0.5,43,0,13.5,0.496055363321799,0.976198598715345,0.835294117647059,2.1556847100767,1.13392392699048,4143.62538731737,12025.6088661487,216,24,83,23,1.71263861766061,0.764789094650206,0.613383058984911,0.842308294919719,-2.10279960607578,3,"","","LTMP","GBR","Sector2","Reef2","Site5","4","Slope",2018
"28252","Site5 Slope 5 2018",36,0,51.5,0.5,11,0.155864197530864,0.339878830414062,0.916666666666667,1.70708267066119,0.638484364427193,14780.1374930754,47786.9495949313,187,29,109,35,1.70174357623833,0.770339443507106,0.379021418971089,1.0084602972713,-3.04766971498794,3,"","","LTMP","GBR","Sector2","Reef2","Site5","5","Slope",2018
"28381","Site6 Slope 1 2018",64.5,0.5,30.5,1,3,0.089297518177994,0.209069262710681,0.992248062015504,2.66543814453123,1.50205587966817,2397.95839977552,4223.33062151276,81,20,27,26,1.72679610699627,0.785246151501296,0.528273129096174,-1.02341010619652,-1.78166469609185,2,"","","LTMP","GBR","Sector2","Reef2","Site6","1","Slope",2018
"28510","Site6 Slope 2 2018",21,1,60.5,0,17,0.424603174603175,0.756742514430274,0.738095238095238,1.30035668883871,-0.0184118724555597,2205.62181394139,4137.92968400418,89,10,19,5,0.90387518581342,0.442620881201868,0.417876530741068,-2.13713299751587,-1.18328025268889,2,"","","LTMP","GBR","Sector2","Reef2","Site6","2","Slope",2018
"28639","Site6 Slope 3 2018",36,0.5,54,0.5,8,0.270447530864198,0.532762617736738,0.847222222222222,1.34617512800002,0.472406356914817,1207.19526858725,3396.62388996488,122,15,28,25,1.27949759621247,0.637328675087342,0.609513571620532,-1.11248766026726,-1.45288084695481,2,"","","LTMP","GBR","Sector2","Reef2","Site6","3","Slope",2018
"28768","Site6 Slope 4 2018",14.5,0.5,67,0,18,0.568370986920333,1.13432988407524,0.655172413793103,1.39511006618453,0.0838919559315733,7877.3043733192,14056.4882527014,242,20,56,9,1.04259597434199,0.4806365685404,0.437367666143023,-0.267947957567706,-1.98456583786327,2.5,"","","LTMP","GBR","Sector2","Reef2","Site6","4","Slope",2018
"28897","Site6 Slope 5 2018",9,0.5,78,0,12,0.598765432098765,1.08707537716112,0.555555555555556,1.04813255555712,-0.639901986261675,6956.87905192212,19173.9038016049,165,17,58,3,1.11426514022895,0.570431588613407,0.499981634527089,-1.28253721007886,-1.06716014986973,1.5,"","","LTMP","GBR","Sector2","Reef2","Site6","5","Slope",2018
"29026","Site4 Slope 1 2020",8.5,0,64,9,10.5,0.595155709342561,1.12178531357477,0.117647058823529,-0.517625558454481,-1.31816722045962,6957.75452769325,10132.8558493264,128,29,37,11,1.71781748374712,0.7698974609375,0.652099609375,-1.11652670147791,-1.07450169572953,3.5,"","","LTMP","GBR","Sector2","Reef2","Site4","1","Slope",2020
"29155","Site4 Slope 2 2020",18.5365853658537,0,62.9268292682927,6.34146341463415,11.219512195122,0.5,1.01418691350722,0.236842105263158,0.153290580095896,0.0540647219743909,5836.07399622754,8116.72282377049,129,25,25,16,1.72381140586205,0.730124391563007,0.645033351361096,-0.278645384365175,-0.248487396731035,3.5,"","","LTMP","GBR","Sector2","Reef2","Site4","2","Slope",2020
"29284","Site4 Slope 3 2020",11,0,81,2,4.5,0.508264462809917,1.05560444881773,0.136363636363636,-0.16476752335306,-0.456378796453353,5857.97724472872,10612.8958491527,104,24,42,12,1.95951414912498,0.845784023668639,0.599852071005917,-0.584832405358054,-1.482637905733,3.5,"","","LTMP","GBR","Sector2","Reef2","Site4","3","Slope",2020
"29413","Site4 Slope 4 2020",10.5527638190955,1.50753768844221,66.8341708542713,1.00502512562814,19.5979899497487,0.662131519274376,1.21316343903614,0.428571428571429,1.40508618460328,0.664870868113639,7563.77010184781,11897.5734014044,115,26,41,12,2.01416905922813,0.848090737240076,0.585406427221172,-0.161849955113195,-1.22328210776915,3,"","","LTMP","GBR","Sector2","Reef2","Site4","4","Slope",2020
"29542","Site4 Slope 5 2020",7.21153846153846,0.480769230769231,85.0961538461538,0.961538461538462,2.88461538461538,0.48,0.803314976140876,0.933333333333333,2.53867479092714,2.70072346439654,11250.3359050997,20219.6242637793,139,35,54,22,2.09695644122764,0.867139382019564,0.667977847937477,0.856647080482982,-1.50128143162571,3,"","","LTMP","GBR","Sector2","Reef2","Site4","5","Slope",2020
"29671","Site5 Slope 1 2020",23.5,0,53,6,7,0.513354459031236,0.995645782644011,0.872340425531915,2.47884818954387,1.31048859044542,4309.62000028596,6814.90489568261,121,29,28,16,1.6845436581713,0.722901441158391,0.659244587118366,-0.411551539510065,-0.55385806712855,3.5,"","","LTMP","GBR","Sector2","Reef2","Site5","1","Slope",2020
"29800","Site5 Slope 2 2020",36.7647058823529,0,49.5098039215686,0,10.7843137254902,0.197333333333333,0.443415849407262,0.933333333333333,2.50483003624816,1.05736499145562,1741.41358064956,3181.1581491301,72,19,18,6,1.64344180028768,0.731867283950617,0.635416666666667,-1.91662468021504,-0.557074038124734,3,"","","LTMP","GBR","Sector2","Reef2","Site5","2","Slope",2020
"29929","Site5 Slope 3 2020",24.5,0.5,43,1,29.5,0.347771761765931,0.609838294466963,0.857142857142857,2.14613018945791,1.27106655867485,10026.023741068,25448.8661176578,124,23,48,15,1.92214518132888,0.831945889698231,0.62031737773153,-0.220448429123332,-1.55830872639437,3,"","","LTMP","GBR","Sector2","Reef2","Site5","3","Slope",2020
"30058","Site5 Slope 4 2020",46.5,0,41,0,11,0.301306509423055,0.610772387136487,0.913978494623656,2.1852933935832,1.39564290746778,3021.95237564991,5159.14037265893,107,23,32,12,1.81735391175473,0.795178618219932,0.640579963315573,-0.786976514684103,-1.43039780012439,NA,"","","LTMP","GBR","Sector2","Reef2","Site5","4","Slope",2020
"30187","Site5 Slope 5 2020",42.5,0,47,0.5,9.5,0.112941176470588,0.28577220359443,0.964705882352941,2.24091306813551,1.21602968403923,2218.58391010551,4841.20282430949,74,18,38,10,1.75139057016984,0.777574872169467,0.43864134404675,-1.32635393618195,-1.6238622306237,NA,"","","LTMP","GBR","Sector2","Reef2","Site5","5","Slope",2020
"30316","Site6 Slope 1 2020",57.5,0,39.5,0,3,0.0341776937618148,0.0877050164013859,0.982608695652174,2.27629968282962,0.93915605583863,4809.86988040613,6399.08091228506,82,21,27,20,1.77039774185404,0.801606186793575,0.642474717430101,-1.0658089066753,-1.25997727715694,2.5,"","","LTMP","GBR","Sector2","Reef2","Site6","1","Slope",2020
"30445","Site6 Slope 2 2020",26.1682242990654,0.467289719626168,60.7476635514019,0,7.94392523364486,0.196428571428572,0.408697725074314,0.892857142857143,1.58521143029191,0.572662173877148,5751.95748419077,12515.233247331,164,17,44,22,1.27053487123788,0.600758477096966,0.556885782272457,-0.12190517464037,-1.57671164420327,3,"","","LTMP","GBR","Sector2","Reef2","Site6","2","Slope",2020
"30574","Site6 Slope 3 2020",42,0,51.5,0.5,6,0.256944444444445,0.510959831255328,0.857142857142857,1.63927698765542,0.290298592317028,6994.08939877547,12048.4924086191,124,22,29,23,1.61870816467413,0.712018730489074,0.633975026014568,-0.382671201546062,-1.40552002871717,3,"","","LTMP","GBR","Sector2","Reef2","Site6","3","Slope",2020
"30703","Site6 Slope 4 2020",38,0,58.5,0.5,3,0.486149584487535,1.00387099372649,0.763157894736842,1.93703586859202,0.485380044730095,3773.20136569274,6553.80085362167,137,11,28,9,0.902031365369741,0.437529969630774,0.42111993180244,-1.34941115955821,-1.34559751331361,3,"","","LTMP","GBR","Sector2","Reef2","Site6","4","Slope",2020
"30832","Site6 Slope 5 2020",18.5,0,73,0,8,0.550766983199416,1.00312616061379,0.621621621621622,1.51082913407378,-0.59601859119043,10649.3186829484,29789.3492689468,169,20,65,8,1.29804099772389,0.615594692062603,0.53380483876615,-0.0752750282219301,-1.49651626412092,2,"","","LTMP","GBR","Sector2","Reef2","Site6","5","Slope",2020
"42571","Site7 Slope 1 2018",6,2.5,60,3.5,4.5,0.541666666666667,0.887694275799104,0.583333333333333,0.504830373220366,0.0112166500726649,6108.71400088194,6567.43521305646,183,10,1,6,0.512327490220957,0.228194332467377,0.226820747110992,-2.50706486902457,0.732693991972317,1.5,"","","LTMP","GBR","Sector2","Reef3","Site7","1","Slope",2018
"42700","Site7 Slope 2 2018",9,0,54.5,5.5,1.5,0.611111111111111,1.11999035565037,0.277777777777778,-0.188216292726117,0.17274479029166,11924.9748641917,21601.9374385035,119,18,31,17,1.60421322896675,0.701362898100417,0.606595579408234,-0.522903769831088,-0.830654939693544,2,"","","LTMP","GBR","Sector2","Reef3","Site7","2","Slope",2018
"42829","Site7 Slope 3 2018",12.5,0,56.5,7,0,0.688,1.26530649068207,0.28,0.0756910058183336,-1.09253956508811,4035.56571122953,5410.90578185065,95,16,1,18,1.58731198929476,0.759224376731302,0.73595567867036,-1.7517336030855,1.2563018369456,2.5,"","","LTMP","GBR","Sector2","Reef3","Site7","3","Slope",2018
"42958","Site7 Slope 4 2018",21,0,47.5,10,0.5,0.701814058956916,1.36867863688973,0.428571428571429,0.976840539226952,-0.0184887220313321,13180.2873734064,29493.6672247915,162,29,29,30,1.9449850723806,0.824874256973022,0.723975003810395,0.155196207011469,0.588495399344311,2.5,"","","LTMP","GBR","Sector2","Reef3","Site7","4","Slope",2018
"43087","Site7 Slope 5 2018",15.5,0,52,15.5,0.5,0.732570239334027,1.35290675400265,0.387096774193548,0.161059338446851,0.784681754035975,2944.8425172102,7536.23748853849,111,22,10,24,1.75565336232585,0.781592403214025,0.697183670156643,-0.957325894767744,0.57716383906377,2.5,"","","LTMP","GBR","Sector2","Reef3","Site7","5","Slope",2018
"43216","Site8 Slope 1 2018",36,1,55,7,0.5,0.304398148148148,0.549751514122452,0.972222222222222,2.59343193124229,2.98832677312882,2600.55921332564,3784.70010812597,164,19,4,17,1.36405238883134,0.632956573468174,0.614143367043426,-1.05617751683912,1.54290765003821,2.5,"","","LTMP","GBR","Sector2","Reef3","Site8","1","Slope",2018
"43345","Site8 Slope 2 2018",47,2,41,5,0.5,0.556813037573563,1.10899269664545,0.776595744680851,1.6794153060415,1.52539374896589,4636.0668483485,6166.70867761174,174,23,10,23,1.57695890383542,0.727044523715154,0.696062888096182,-0.83002869530644,0.67529139047221,2.5,"","","LTMP","GBR","Sector2","Reef3","Site8","2","Slope",2018
"43474","Site8 Slope 3 2018",73,3.5,21,0.5,2,0.523456558453744,0.888647291414436,0.917808219178082,2.35977306388347,2.53584322461798,4000.76330989649,7267.249484044,229,19,11,49,1.3632234588235,0.595755229686695,0.561392803340897,0.0656925174232504,1.45804150605566,3,"","","LTMP","GBR","Sector2","Reef3","Site8","3","Slope",2018
"43603","Site8 Slope 4 2018",49,3,32.5,9,5,0.655768429820908,1.1699050039507,0.785714285714286,1.98676012912307,1.63641662708987,6156.22944141757,9238.69539047287,167,18,20,21,1.56339542478921,0.694969342751623,0.616300333464807,-0.222980017123814,0.938129938080152,3,"","","LTMP","GBR","Sector2","Reef3","Site8","4","Slope",2018
"43732","Site8 Slope 5 2018",51.5,0.5,38.5,5,2,0.627014798755773,1.18199577084658,0.699029126213592,1.63926267425424,1.58830254742509,5746.88151573653,8489.20330368942,161,26,14,27,1.74340867522899,0.781837120481463,0.718413641449018,-0.717984784197563,0.9426287157112,3,"","","LTMP","GBR","Sector2","Reef3","Site8","5","Slope",2018
"43861","Site9 Slope 1 2018",16,0,56.5,6,0,0.623046875,1.1685216440854,0.40625,0.882240663997103,-0.0380008729175909,1794.27750044808,3370.75538200734,92,16,5,8,1.36147769850246,0.637051039697543,0.605151228733459,-2.21481515393272,0.877704263510034,NA,"","","LTMP","GBR","Sector2","Reef3","Site9","1","Slope",2018
"43990","Site9 Slope 2 2018",12,0,50.5,1.5,0,0.489583333333333,0.881721481547744,0.708333333333333,1.90660392038153,0.474683507599488,5809.68837340304,7486.00695354019,106,22,7,16,1.56756369127102,0.694464222143111,0.655660377358491,-1.36500509274602,1.22937435331362,NA,"","","LTMP","GBR","Sector2","Reef3","Site9","2","Slope",2018
"44119","Site9 Slope 3 2018",36.5,2.5,42,1,0.5,0.535935447551135,0.954777595610373,0.849315068493151,2.07134128020302,1.66862900574041,7103.44414707963,9052.12667285971,168,16,7,19,1.24442403289941,0.564980158730159,0.553358843537415,-1.35545383664135,1.73879907226673,NA,"","","LTMP","GBR","Sector2","Reef3","Site9","3","Slope",2018
"44248","Site9 Slope 4 2018",28.5,0.5,59.5,6,0,0.643890427823946,1.22268098766737,0.526315789473684,0.932259171543167,-0.0613083489714635,5888.48993764422,8479.65915678627,135,23,14,6,1.54548118461901,0.733168724279835,0.690260631001372,-1.52330832040778,0.575023038797653,NA,"","","LTMP","GBR","Sector2","Reef3","Site9","4","Slope",2018
"44377","Site9 Slope 5 2018",15,0,77,5,1,0.515555555555556,0.988154224290194,0.666666666666667,1.11988921907801,-0.357861182778408,6746.57012291149,10738.9075160555,105,14,15,10,1.70086808150169,0.771700680272109,0.710385487528345,-1.67846274457006,0.595911490590405,NA,"","","LTMP","GBR","Sector2","Reef3","Site9","5","Slope",2018
"44506","Site7 Slope 1 2020",16.5,0,31.5,5.5,0.5,0.593204775022957,1.03349715199933,0.363636363636364,0.124774975374769,-0.643178641948675,10142.0060099667,16380.3926930097,160,17,13,10,0.924421668886946,0.381328125,0.371171875,-1.44300166102032,0.286783705554703,2.5,"","","LTMP","GBR","Sector2","Reef3","Site7","1","Slope",2020
"44635","Site7 Slope 2 2020",22.5,0,54,4.5,0,0.561975308641975,1.06247123628816,0.666666666666667,1.41059685116081,0.503338119327161,4044.9652175887,8455.5969651747,141,17,17,10,1.23394365672669,0.525627483526986,0.504803581308787,-1.05266300636033,0.230631961719622,2,"","","LTMP","GBR","Sector2","Reef3","Site7","2","Slope",2020
